image,label,path,fold,preds
Jump/100_run6.png,0,../input/subway-run-2/Jump/100_run6.png,0,0
Jump/101_run6.png,0,../input/subway-run-2/Jump/101_run6.png,0,0
Jump/102_run7.png,0,../input/subway-run-2/Jump/102_run7.png,0,0
Jump/104_run7.png,0,../input/subway-run-2/Jump/104_run7.png,0,0
Jump/108_run6.png,0,../input/subway-run-2/Jump/108_run6.png,0,0
Jump/109_run101.png,0,../input/subway-run-2/Jump/109_run101.png,0,0
Jump/112_run6.png,0,../input/subway-run-2/Jump/112_run6.png,0,0
Jump/112_run7.png,0,../input/subway-run-2/Jump/112_run7.png,0,0
Jump/114_run6.png,0,../input/subway-run-2/Jump/114_run6.png,0,0
Jump/115_run101.png,0,../input/subway-run-2/Jump/115_run101.png,0,0
Jump/115_run7.png,0,../input/subway-run-2/Jump/115_run7.png,0,0
Jump/117_run101.png,0,../input/subway-run-2/Jump/117_run101.png,0,0
Jump/118_run101.png,0,../input/subway-run-2/Jump/118_run101.png,0,0
Jump/118_run7.png,0,../input/subway-run-2/Jump/118_run7.png,0,1
Jump/120_run101.png,0,../input/subway-run-2/Jump/120_run101.png,0,0
Jump/126_run101.png,0,../input/subway-run-2/Jump/126_run101.png,0,0
Jump/126_run6.png,0,../input/subway-run-2/Jump/126_run6.png,0,0
Jump/126_run7.png,0,../input/subway-run-2/Jump/126_run7.png,0,0
Jump/131_run101.png,0,../input/subway-run-2/Jump/131_run101.png,0,0
Jump/133_run7.png,0,../input/subway-run-2/Jump/133_run7.png,0,0
Jump/134_run6.png,0,../input/subway-run-2/Jump/134_run6.png,0,0
Jump/136_run7.png,0,../input/subway-run-2/Jump/136_run7.png,0,0
Jump/139_run7.png,0,../input/subway-run-2/Jump/139_run7.png,0,0
Jump/13_run6.png,0,../input/subway-run-2/Jump/13_run6.png,0,4
Jump/140_run6.png,0,../input/subway-run-2/Jump/140_run6.png,0,0
Jump/141_run6.png,0,../input/subway-run-2/Jump/141_run6.png,0,0
Jump/142_run101.png,0,../input/subway-run-2/Jump/142_run101.png,0,0
